solve_message = 'CONOPT 3.17A Locally infeasible; objective 655.3634589
58 iterations; evals nf = 4, ng = 0, nc = 784, nJ = 66, nH = 0, nHv = 7'

            _varname               _var          =
641    'T[2,15]'                 346.253
642    'T[2,16]'                 346.252
643    'T[2,17]'                 346.251
644    'T[2,18]'                 346.251
645    'T[2,19]'                 346.25
646    'T[2,20]'                 346.248
647    'T[2,21]'                 346.242
648    'T[2,22]'                 346.227
649    'T[2,23]'                 346.187
650    'T[2,24]'                 346.079
651    'T[2,25]'                 345.796
652    'T[2,26]'                 345.065
653    'T[2,27]'                 343.285
654    'T[2,28]'                 339.487
655    'T[2,29]'                 333.289
656    'T[2,30]'                 326.606
657    TF                        338.159
658    'QC[1]'                  6634.01
659    'QC[2]'                   281.216
660    'QR[1]'                  7012.86
661    'QR[2]'                   281.216
662    'H[1,1,1]'                  1.86505
663    'H[1,1,2]'                  2.30196
664    'H[1,1,3]'                  2.76004
665    'H[1,2,1]'                  1.80918
666    'H[1,2,2]'                  2.23425
667    'H[1,2,3]'                  2.67824
668    'H[1,3,1]'                  1.71438
669    'H[1,3,2]'                  2.11925
670    'H[1,3,3]'                  2.5394
671    'H[1,4,1]'                  1.5845
672    'H[1,4,2]'                  1.96147
673    'H[1,4,3]'                  2.34911
674    'H[1,5,1]'                  1.45115
675    'H[1,5,2]'                  1.79916
676    'H[1,5,3]'                  2.15357
677    'H[1,6,1]'                  1.35035
678    'H[1,6,2]'                  1.67622
679    'H[1,6,3]'                  2.00563
680    'H[1,7,1]'                  1.29113
681    'H[1,7,2]'                  1.6039
682    'H[1,7,3]'                  1.91867
683    'H[1,8,1]'                  1.26137
684    'H[1,8,2]'                  1.56752
685    'H[1,8,3]'                  1.87495
686    'H[1,9,1]'                  1.24693
687    'H[1,9,2]'                  1.54987
688    'H[1,9,3]'                  1.85373
689    'H[1,10,1]'                 1.23829
690    'H[1,10,2]'                 1.5393
691    'H[1,10,3]'                 1.84103
692    'H[1,11,1]'                 1.22873
693    'H[1,11,2]'                 1.52761
694    'H[1,11,3]'                 1.82698
695    'H[1,12,1]'                 1.21048
696    'H[1,12,2]'                 1.50528
697    'H[1,12,3]'                 1.80015
698    'H[1,13,1]'                 1.17036
699    'H[1,13,2]'                 1.45616
700    'H[1,13,3]'                 1.74116
701    'H[1,14,1]'                 1.08831
702    'H[1,14,2]'                 1.35557
703    'H[1,14,3]'                 1.62041
704    'H[1,15,1]'                 0.952459
705    'H[1,15,2]'                 1.18865
706    'H[1,15,3]'                 1.42022
707    'H[1,16,1]'                 0.7673
708    'H[1,16,2]'                 0.960259
709    'H[1,16,3]'                 1.14668
710    'H[1,17,1]'                 0.623532
711    'H[1,17,2]'                 0.78215
712    'H[1,17,3]'                 0.933626
713    'H[1,18,1]'                 0.545347
714    'H[1,18,2]'                 0.684976
715    'H[1,18,3]'                 0.81748
716    'H[1,19,1]'                 0.512114
717    'H[1,19,2]'                 0.643603
718    'H[1,19,3]'                 0.768046
719    'H[1,20,1]'                 0.499628
720    'H[1,20,2]'                 0.628047
721    'H[1,20,3]'                 0.749463
722    'H[1,21,1]'                 0.495168
723    'H[1,21,2]'                 0.622489
724    'H[1,21,3]'                 0.742823
725    'H[1,22,1]'                 0.493604
726    'H[1,22,2]'                 0.62054
727    'H[1,22,3]'                 0.740494
728    'H[1,23,1]'                 0.493059
729    'H[1,23,2]'                 0.619861
730    'H[1,23,3]'                 0.739683
731    'H[1,24,1]'                 0.49287
732    'H[1,24,2]'                 0.619625
733    'H[1,24,3]'                 0.739401
734    'H[1,25,1]'                 0.492804
735    'H[1,25,2]'                 0.619543
736    'H[1,25,3]'                 0.739303
737    'H[1,26,1]'                 0.492781
738    'H[1,26,2]'                 0.619514
739    'H[1,26,3]'                 0.739269
740    'H[1,27,1]'                 0.492773
741    'H[1,27,2]'                 0.619504
742    'H[1,27,3]'                 0.739258
743    'H[1,28,1]'                 0.49277
744    'H[1,28,2]'                 0.619501
745    'H[1,28,3]'                 0.739253
746    'H[1,29,1]'                 0.49277
747    'H[1,29,2]'                 0.6195
748    'H[1,29,3]'                 0.739252
749    'H[1,30,1]'                 0.492769
750    'H[1,30,2]'                 0.619499
751    'H[1,30,3]'                 0.739252
